CustomerID,NextPurchaseDay,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment_High_Value,Segment_Low_Value,Segment_Mid_Value
17850,300,232,0,35,2,5288.63,1,3,0,0,1
13767,16,10,3,46,2,13110.57,1,6,1,0,0
15513,47,17,3,19,2,11192.3,1,6,1,0,0
14849,31,25,3,19,2,5777.83,1,6,1,0,0
12921,38,14,3,38,2,11247.83,1,6,1,0,0
13468,9,4,3,33,2,4826.82,1,6,1,0,0
13777,13,7,3,32,2,12819.25,1,6,1,0,0
17017,14,2,3,21,2,6141.39,1,6,1,0,0
13418,19,9,3,20,2,4787.84,1,6,1,0,0
17381,33,29,3,25,2,18258.47,1,6,1,0,0
17581,39,2,3,25,2,8069.14,1,6,1,0,0
16013,3,0,3,42,2,20330.49,1,6,1,0,0
17243,28,8,3,21,2,4654.56,1,6,1,0,0
15465,20,11,3,22,2,6009.48,1,6,1,0,0
16033,16,12,3,24,2,6744.02,1,6,1,0,0
18109,8,2,3,24,2,5034.84,1,6,1,0,0
16839,10,4,3,28,2,12558.7,1,6,1,0,0
16814,23,17,3,18,2,5771.89,1,6,1,0,0
17677,25,11,3,34,2,12601.92,1,6,1,0,0
17428,13,7,3,26,2,14572.97,1,6,1,0,0
15039,15,10,3,44,2,18658.04,1,6,1,0,0
15078,18,4,3,30,2,7460.39,1,6,1,0,0
14667,36,4,3,21,2,7130.31,1,6,1,0,0
15194,41,2,3,20,2,5392.86,1,6,1,0,0
13319,19,15,3,29,2,7209.26,1,6,1,0,0
15498,23,9,3,27,2,9608.88,1,6,1,0,0
17675,4,0,3,33,2,14948.97,1,6,1,0,0
13078,18,12,3,29,2,8268.07,1,6,1,0,0
14796,38,24,3,24,2,6410.39,1,6,1,0,0
16779,39,1,3,21,2,7188.61,1,6,1,0,0
13199,28,22,3,23,2,4727,1,6,1,0,0
16525,42,9,3,26,2,10369.27,1,6,1,0,0
16558,15,8,3,19,2,5019.86,1,6,1,0,0
14051,23,21,3,19,2,9138.79,1,6,1,0,0
13113,52,43,3,34,2,9741.81,1,6,1,0,0
15005,15,8,3,28,2,4827.99,1,6,1,0,0
15358,23,2,3,24,2,6629.96,1,6,1,0,0
13854,23,18,3,25,2,6686.86,1,6,1,0,0
15856,30,25,3,20,2,11350.44,1,6,1,0,0
13102,39,11,3,23,2,5205.04,1,6,1,0,0
17865,35,9,3,23,2,8202.65,1,6,1,0,0
13668,56,43,3,22,2,4864.97,1,6,1,0,0
15044,9,5,3,18,2,5489.23,1,6,1,0,0
15159,22,19,3,22,2,9537.15,1,6,1,0,0
15615,42,35,3,23,2,7328.15,1,6,1,0,0
16705,24,4,3,19,2,10107.46,1,6,1,0,0
17315,18,5,3,36,2,4857.54,1,6,1,0,0
17306,35,1,3,18,2,7175.66,1,6,1,0,0
17389,36,4,3,35,2,13061.94,1,6,1,0,0
17811,5,3,3,35,2,5182.14,1,6,1,0,0
15189,48,21,3,45,2,12212.52,1,6,1,0,0
13263,4,0,3,25,2,5646.48,1,6,1,0,0
16133,6,0,3,36,2,11925.28,1,6,1,0,0
13098,27,17,3,28,2,17165.07,1,6,1,0,0
16523,6,0,3,18,2,6721.66,1,6,1,0,0
16745,300,16,3,18,2,7170.7,1,6,1,0,0
16333,32,28,3,18,2,15619.6,1,6,1,0,0
14194,11,0,3,23,2,6866.09,1,6,1,0,0
13018,8,2,3,22,2,5673.22,1,6,1,0,0
18172,14,8,3,18,2,6307.76,1,6,1,0,0
14056,18,14,3,23,2,5587.13,1,6,1,0,0
15125,53,43,3,18,2,10634.45,1,6,1,0,0
12901,27,11,3,27,2,12103.83,1,6,1,0,0
16672,37,2,3,21,2,7285.99,1,6,1,0,0
16729,17,0,3,23,2,6028.77,1,6,1,0,0
16210,23,16,3,12,1,11607.02,1,5,1,0,0
18229,12,0,3,16,1,5852.86,1,5,1,0,0
13576,20,1,3,16,1,5329.34,1,5,1,0,0
13090,48,42,3,12,1,4704.84,1,5,1,0,0
15601,22,8,3,15,1,5785.82,1,5,1,0,0
14060,23,9,3,17,1,5130.56,1,5,1,0,0
15838,13,7,3,15,1,17048.3,1,5,1,0,0
15640,42,8,3,14,1,9361.28,1,5,1,0,0
14031,7,4,3,17,1,9982.93,1,5,1,0,0
18055,45,14,3,9,1,4873.82,1,5,1,0,0
15023,73,46,3,9,1,5070.72,1,5,1,0,0
17735,28,23,3,16,1,11091.24,1,5,1,0,0
14733,94,40,3,13,1,8922.28,1,5,1,0,0
13488,29,2,3,15,1,7309.49,1,5,1,0,0
17706,40,30,3,16,1,7671.18,1,5,1,0,0
14952,12,1,3,12,1,6568.65,1,5,1,0,0
